Player,Team,P,Season,start_year,end_year,dob,age_in_season,GP,G,A1,A2,SOG,FOW,FOL,PenT,game_score,game_score_game
Amanda Boulier,MIN,NA,2020-2021,2020,2021,1993,27,0,0,0,0,0,0,0,0,0,NA
Amanda Boulier,MIN,D,2018-2019,2018,2019,1993,25,16,5,4,4,40,0,0,0,15.24,0.95
Amanda Boulier,MIN,D,2019-2020,2019,2020,1993,26,22,6,11,10,39,1,0,5,25.76,1.17
Amanda Boulier,CTW,D|F,2017-2018,2017,2018,1993,24,12,3,4,1,40,0,0,0,11.26,0.94
Amanda Conway,CTW,NA,2020-2021,2020,2021,1997,23,4,1,0,1,7,0,1,0,2.25,0.56
Amanda Kessel,NYR,F,2016-2017,2016,2017,1991,25,8,4,10,4,18,0,0,0,17.44,2.18
Amanda Kessel,MET,F,2018-2019,2018,2019,1991,27,13,2,9,6,39,0,0,0,17.96,1.38
Amanda Pelkey,BOS,F,2015-2016,2015,2016,1993,22,16,7,3,0,43,0,0,0,14,0.88
Amanda Pelkey,BOS,F,2018-2019,2018,2019,1993,25,16,5,5,2,27,0,0,0,13.52,0.84
Amanda Pelkey,BOS,F,2016-2017,2016,2017,1993,23,17,2,3,2,32,0,0,0,9.22,0.54
Amber Moore,NYR,D,2015-2016,2015,2016,1988,27,13,0,1,1,1,0,0,0,1.66,0.13
Amy Curlew,TOR,NA,2020-2021,2020,2021,1998,22,6,0,4,0,3,3,3,2,3.6,0.6
Amy Menke,MIN,F,2018-2019,2018,2019,1995,23,15,4,3,3,31,0,0,0,11.78,0.79
Amy Schlagel,MIN,F,2018-2019,2018,2019,1996,22,12,2,0,1,15,0,0,0,4.16,0.35
Ana Orzechowski,BUF,D,2019-2020,2019,2020,1996,23,23,0,0,1,9,1,1,2,1.26,0.05
Anna Keys,MET,D,2019-2020,2019,2020,1995,24,9,0,1,0,4,0,0,4,0.7,0.08
Anne Schleper,BUF,D,2016-2017,2016,2017,1990,26,6,0,1,0,6,0,0,0,1.5,0.25
Annika Zalewski,BUF,F,2018-2019,2018,2019,1996,22,16,3,7,2,23,0,0,0,12.92,0.81
Annmarie Cellino,BUF,F,2015-2016,2015,2016,NA,NA,3,0,0,1,0,0,0,0,0.66,0.22
Anya Battagino,CTW,F|D,2016-2017,2016,2017,NA,NA,5,0,0,0,3,0,0,0,0.3,0.06
Anya Battaglino,CTW,F|D,2015-2016,2015,2016,NA,NA,8,0,0,0,0,0,0,0,0,0
Anya Battaglino,CTW,F,2017-2018,2017,2018,NA,NA,9,0,0,0,7,0,0,0,0.7,0.08
Ashley Birdsall,BUF,F|D,2019-2020,2019,2020,1990,29,18,1,1,1,6,2,3,4,2.45,0.14
Ashley Johnston,MET,D,2017-2018,2017,2018,1992,25,14,1,0,1,11,0,0,0,2.76,0.2
Ashley Johnston,NYR,D,2016-2017,2016,2017,1992,24,17,2,0,2,14,0,0,0,4.72,0.28
Ashley Johnston,MET,D,2019-2020,2019,2020,1992,27,10,0,1,2,7,0,0,1,2.77,0.28
Ashley Johnston,NYR,D,2015-2016,2015,2016,1992,23,16,1,3,4,24,0,0,0,8.74,0.55
Ashley Vesci,BUF,F,2016-2017,2016,2017,1993,23,10,0,1,0,13,0,0,0,2.2,0.22
Audra Richards,MIN,NA,2020-2021,2020,2021,1994,26,4,1,3,0,7,0,1,1,4.14,1.03
Audra Richards,MIN,F,2019-2020,2019,2020,1994,25,24,9,6,5,78,25,26,1,25.24,1.05
Audra Richards,MET,F,2018-2019,2018,2019,1994,24,16,8,0,0,41,0,0,0,12.1,0.76
Autumn MacDougall,BUF,NA,2020-2021,2020,2021,1997,23,6,3,0,0,15,0,0,0,4.5,0.75
Becki Bowering,BUF,F,2019-2020,2019,2020,1996,23,24,3,2,4,27,117,159,10,4.02,0.17
Beth Hanrahan,NYR,F,2015-2016,2015,2016,1993,22,18,2,1,0,44,0,0,0,7.3,0.41
Blake Bolden,BOS,D,2016-2017,2016,2017,1991,25,17,1,3,2,35,0,0,0,8.52,0.5
Blake Bolden,BUF,D,2018-2019,2018,2019,1991,27,16,1,5,7,47,0,0,0,14.82,0.93
Blake Bolden,BOS,D,2015-2016,2015,2016,1991,24,18,1,4,4,38,0,0,0,11.04,0.61
Bray Ketchum,MET,F,2017-2018,2017,2018,1989,28,16,5,2,4,34,0,0,0,12.84,0.8
Bray Ketchum,NYR,F,2016-2017,2016,2017,1989,27,17,2,1,4,28,0,0,0,8.34,0.49
Bray Ketchum,NYR,F,2015-2016,2015,2016,1989,26,18,10,2,1,51,0,0,0,17.56,0.98
Breanne Wilson-Bennett,TOR,NA,2020-2021,2020,2021,1996,24,6,2,1,1,23,47,34,1,7.14,1.19
Briana Mastel,BOS,D,2019-2020,2019,2020,1994,25,24,1,1,5,26,0,0,2,7.5,0.31
Briana Mastel,BOS,NA,2020-2021,2020,2021,1994,26,5,0,0,0,5,0,0,1,0.35,0.07
Brianna Decker,BOS,F,2015-2016,2015,2016,1991,24,16,14,12,4,100,0,0,0,37.44,2.34
Brianna Decker,BOS,F,2016-2017,2016,2017,1991,25,17,14,10,7,104,0,0,0,38.02,2.24
Bridgette Prentiss,MET,NA,2020-2021,2020,2021,1998,22,0,0,0,0,0,0,0,0,0,NA
Brinna Dochniak,CTW,D,2019-2020,2019,2020,1997,22,10,0,1,1,8,0,0,1,2.21,0.22
Brittany Colton,BUF,NA,2020-2021,2020,2021,1997,23,6,0,0,0,1,0,9,0,-0.89,-0.15
Brittany Dougherty,CTW,F,2015-2016,2015,2016,1991,24,17,1,2,2,30,0,0,0,7.12,0.42
Brooke Ammerman,NYR,F,2015-2016,2015,2016,NA,NA,15,4,10,1,47,0,0,0,18.36,1.22
Brooke Avery,MET,NA,2020-2021,2020,2021,1995,25,3,0,0,1,1,1,1,0,0.76,0.25
Brooke Avery,MET,F,2019-2020,2019,2020,1995,24,21,5,0,0,35,59,58,5,7.86,0.37
Brooke Baker,MET,F,2019-2020,2019,2020,1997,22,23,3,0,3,37,3,17,11,5.49,0.24
Brooke Boquist,TOR,NA,2020-2021,2020,2021,1996,24,4,2,2,0,18,2,2,2,5.3,1.32
Brooke Stacey,BUF,F,2019-2020,2019,2020,1996,23,14,8,5,3,31,7,4,1,17.76,1.27
Brooke Stacey,BUF,NA,2020-2021,2020,2021,1996,24,6,0,1,0,12,3,5,0,1.88,0.31
Brooke White-Lancette,MIN,F,2018-2019,2018,2019,1981,37,2,0,1,0,2,0,0,0,1.1,0.55
Brooke White-Lancette,MIN,F,2019-2020,2019,2020,1981,38,10,2,0,1,8,0,2,2,2.94,0.29
Brooke White-Lancette,MIN,NA,2020-2021,2020,2021,1981,39,4,1,0,0,1,0,0,0,1.1,0.28
Bulbul Kartanbay,MET,F,2019-2020,2019,2020,1993,26,10,0,0,0,7,0,2,1,0.33,0.03
Cailey Hutchison,MET,NA,2020-2021,2020,2021,1997,23,3,1,0,0,2,15,13,1,1.27,0.42
